,PlaceId,Longitude,Latitude,StartTimeStampInMS,EndTimeStampInMS,Name
52,ChIJx9kmv8_MHkcRlMNuvRUX1hI,210022368,522043318,1634278707349,1634284800319,Faculty of Automotive and Construction Machinery Warsaw University of Technology
53,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634285837827,1634299462738,Warsaw University of Technology
54,ChIJ7yDzmz7NHkcRH0i-NRk-9A4,210150394,522185784,1634300199258,1634302665795,Polny Bar Mleczny
55,ChIJcReVyfLMHkcRl-bf8HPtxas,210073856,522286824,1634303888280,1634304250058,Bookland
56,ChIJh9BTe37LHkcRL9DQh8I2Tjk,209756199,522391488,1634305103141,1634312960000,Żytnia 31/33
57,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634314304638,1634320341556,Warsaw University of Technology
58,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634322156853,1634330733732,Bieniewicka 4
59,ChIJf-wA-WLMHkcRJ-0wTWO0DYM,210029820,522410538,1634332065167,1634338678282,Capitol Warsaw Club
60,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634340003953,1634471059795,Bieniewicka 4
61,ChIJjXFvw-jLHkcRbWt_dRnJefk,209802426,522746719,1634471272504,1634472662297,Kumpir & Kebab Warszawa Żoliborz Bielany
62,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634472793494,1634540072935,Bieniewicka 4
63,ChIJlb5oHevMHkcRnyVimDipva8,210029041,522199490,1634541955420,1634548102213,XIV Liceum Ogólnokształcące im. Stanisława Staszica
64,ChIJlcMkBQPNHkcRDcbxmm7alPo,209981910,522389739,1634549068350,1634551228010,Jaja Łowickie ®
65,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634552496067,1634564819902,Bieniewicka 4
66,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634566795026,1634579934305,Warsaw University of Technology
67,ChIJzy4Sbb3MHkcR1QFpvdlRVRg,209841004,522189469,1634580434000,1634580925884,Narutowicz Square
68,ChIJh9BTe37LHkcRL9DQh8I2Tjk,209756199,522391488,1634581599448,1634589393593,Żytnia 31/33
69,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634590868308,1634650173090,Bieniewicka 4
70,ChIJgxwpY1_MHkcRFKqXgftRhPY,210183353,522364197,1634652133786,1634655842000,La Cantina
71,ChIJTxfCxPXMHkcRrHZyMFBpGqY,210185569,522343530,1634655842000,1634658355980,Croque Madame
72,ChIJIQZkFPPMHkcRpQq8gdD-KIw,210108289,522304991,1634658961198,1634659459053,Centrum
73,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634660313425,1634662698277,Bieniewicka 4
74,ChIJh9BTe37LHkcRL9DQh8I2Tjk,209756199,522391488,1634663957744,1634676195356,Żytnia 31/33
75,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634677284660,1634737228948,Bieniewicka 4
76,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634739133105,1634749873000,Warsaw University of Technology
77,ChIJVQUcLcfMHkcRzfvFo69SvWE,210118940,522160933,1634750443092,1634752634000,Mokotowskie Field
78,ChIJlb5oHevMHkcRnyVimDipva8,210029041,522199490,1634753407183,1634760790674,XIV Liceum Ogólnokształcące im. Stanisława Staszica
79,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634762849263,1634829860190,Bieniewicka 4
80,ChIJs1jRHenMHkcRYbW211PIixg,210118585,522190346,1634831381024,1634837574000,The Faculty of Electronics and Information Technology on Warsaw University of Technology
81,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1634839557905,1634842273874,Arkadia
82,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634843266234,1634881596013,Bieniewicka 4
83,ChIJx9kmv8_MHkcRlMNuvRUX1hI,210022368,522043318,1634883736514,1634889188000,Faculty of Automotive and Construction Machinery Warsaw University of Technology
84,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634890162401,1634903698813,Warsaw University of Technology
85,ChIJnQbtJaPNHkcRTGT6EDGLgL8,210126605,522204480,1634904062185,1634906927797,BAR THIEN LY
86,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634908660635,1634917008384,Bieniewicka 4
87,ChIJWTUjZY3MHkcR2U7HZ_LJC-s,210032200,522288600,1634918847440,1634919162000,Warsaw Central
88,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1634919610821,1634925081047,Warsaw University of Technology
89,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634927067000,1634993850955,Bieniewicka 4
90,ChIJQ0Ysw-jLHkcR913z1brHCpI,209803373,522747343,1634994069000,1634994814105,Pan Sushi
91,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1634995353729,1634999928878,Bieniewicka 4
92,ChIJ0xhf5EnJHkcR8eVpalqnuXk,210199765,523023426,1635000701160,1635011787307,Murall Centrum Wspinaczkowe + FunClimb
93,ChIJYxH3McTLHkcR0gp4WggczeY,209614652,522751825,1635012524517,1635014699014,Hami Foods
94,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635015321783,1635145275145,Bieniewicka 4
95,ChIJweNQiunLHkcRM69ZqZ0xRxI,209740136,522724243,1635145513000,1635145883052,Metro Marymont
96,ChIJlb5oHevMHkcRnyVimDipva8,210029041,522199490,1635147392625,1635152681474,XIV Liceum Ogólnokształcące im. Stanisława Staszica
97,ChIJlcMkBQPNHkcRDcbxmm7alPo,209981910,522389739,1635153604262,1635155057933,Jaja Łowickie ®
98,ChIJixWP8ofMHkcRWjzNz1OQeBw,209959976,522399708,1635155057933,1635156046471,Tourist shop Multan Extreme Warsaw
99,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635157276601,1635169352777,Bieniewicka 4
100,ChIJQ0Ysw-jLHkcR913z1brHCpI,209803373,522747343,1635169414000,1635169828588,Pan Sushi
101,ChIJmY74hO3LHkcR6dFM039Yg-s,209851691,522682881,1635170685426,1635171536880,Drogeria Rossmann
102,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1635172860288,1635184164568,Warsaw University of Technology
103,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635186010829,1635244409064,Bieniewicka 4
104,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1635246968439,1635250523804,Warsaw University of Technology
105,ChIJcReVyfLMHkcRl-bf8HPtxas,210073856,522286824,1635252401400,1635252843545,Bookland
106,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1635254589623,1635270857074,Warsaw University of Technology
107,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635272925477,1635340411000,Bieniewicka 4
108,ChIJLwDPGn7LHkcR4sSThMW8Ags,209789392,522387394,1635341388668,1635342242000,Okopowa 14
109,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1635343699015,1635354263003,Warsaw University of Technology
110,ChIJWSlOqe7MHkcRaumVN8UoL0M,210101600,522215100,1635354376623,1635355133400,Żabka
111,ChIJVQUcLcfMHkcRzfvFo69SvWE,210118940,522160933,1635356833928,1635364184000,Mokotowskie Field
112,ChIJVaT5SLrMHkcRvjK6HTvfw8Y,209822291,522117847,1635365526944,1635366486000,"Faculty of Mathematics, Informatics, and Mechanics, University of Warsaw"
113,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635368997728,1635420951901,Bieniewicka 4
114,ChIJQ0Ysw-jLHkcR3ToXxUsp19I,209795052,522747856,1635420951901,1635421317295,Stream Bar & Concert Hall
115,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635421317295,1635434946817,Bieniewicka 4
116,ChIJs1jRHenMHkcRYbW211PIixg,210118585,522190346,1635436480365,1635440053804,The Faculty of Electronics and Information Technology on Warsaw University of Technology
117,ChIJo27HqXzMHkcRHgTkIRMsVdg,210012000,522448900,1635441455000,1635441826948,Ratusz Arsenał
118,ChIJ0xhf5EnJHkcR8eVpalqnuXk,210199765,523023426,1635443319190,1635449321793,Murall Centrum Wspinaczkowe + FunClimb
119,ChIJjXFvw-jLHkcRbWt_dRnJefk,209802426,522746719,1635450443112,1635450776950,Kumpir & Kebab Warszawa Żoliborz Bielany
120,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635453436880,1635487465403,Bieniewicka 4
121,ChIJx9kmv8_MHkcRlMNuvRUX1hI,210022368,522043318,1635489339746,1635493965952,Faculty of Automotive and Construction Machinery Warsaw University of Technology
122,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1635494974348,1635508110000,Warsaw University of Technology
123,ChIJm_uSxY7LHkcRfCl8PScvsxI,209845220,522571543,1635510147980,1635511363342,Arkadia
124,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635512573913,1635522117435,Bieniewicka 4
125,ChIJF8u2SOnMHkcR7TrJJ2_WP80,210080857,522212012,1635523821524,1635530724108,Warsaw University of Technology
126,ChIJWx2tG-nLHkcRZ4495dW_Zig,209782606,522737412,1635532475564,1635584956253,Bieniewicka 4
127,ChIJqSZtGOrLHkcRF1Bna-46p_M,209731757,522717921,1635585204087,1635585632608,Metro Marymont 03
128,ChIJKTAiAjbMHkcRzMjb4LzsCx0,210522820,522514900,1635587492663,1635588481102,Warsaw East
129,ChIJwUY61wz8H0cRrzQm0WWPWJ0,231358237,531343350,1635597158073,1635597295201,Bialystok
130,ChIJVbNlEoH-H0cR-LaOndg2BJU,231973330,531550060,1635598762463,1635757593567,Żyzna 21
